tarih,kur,para_birimi
2026-02-13,56.8828,CHF
2026-02-16,56.7537,CHF
2026-02-17,56.7215,CHF
2026-02-18,56.8182,CHF
2026-02-19,56.4016,CHF
2026-02-20,56.4972,CHF
2026-02-23,56.4972,CHF
2026-02-24,56.6251,CHF
2026-02-25,56.6251,CHF
2026-02-26,56.7215,CHF
2026-02-27,57.0125,CHF
2026-03-02,56.4016,CHF
2026-03-03,56.0538,CHF
2026-03-04,56.4016,CHF
2026-03-05,56.4016,CHF
2026-03-06,56.338,CHF
2026-03-09,56.5611,CHF
2026-03-10,56.7859,CHF
2026-03-11,56.5611,CHF
2026-03-12,56.4016,CHF
2026-03-13,56.1482,CHF
2026-03-16,56.0852,CHF
2026-02-13,51.8941,EUR
2026-02-16,51.8135,EUR
2026-02-17,51.7063,EUR
2026-02-18,51.8403,EUR
2026-02-19,51.4403,EUR
2026-02-20,51.5996,EUR
2026-02-23,51.6529,EUR
2026-02-24,51.6529,EUR
2026-02-25,51.7063,EUR
2026-02-26,51.8403,EUR
2026-02-27,51.8941,EUR
2026-03-02,51.4139,EUR
2026-03-03,51.0465,EUR
2026-03-04,51.2295,EUR
2026-03-05,51.1247,EUR
2026-03-06,50.9424,EUR
2026-03-09,50.9424,EUR
2026-03-10,51.2821,EUR
2026-03-11,51.0725,EUR
2026-03-12,50.9424,EUR
2026-03-13,50.7099,EUR
2026-03-16,50.7099,EUR
2026-02-13,59.5238,GBP
2026-02-16,59.6303,GBP
2026-02-17,59.2066,GBP
2026-02-18,59.4177,GBP
2026-02-19,58.8582,GBP
2026-02-20,59.1017,GBP
2026-02-23,59.1366,GBP
2026-02-24,59.1366,GBP
2026-02-25,59.312,GBP
2026-02-26,59.453,GBP
2026-02-27,59.2066,GBP
2026-03-02,58.8582,GBP
2026-03-03,58.548,GBP
2026-03-04,58.8582,GBP
2026-03-05,58.7889,GBP
2026-03-06,58.7889,GBP
2026-03-09,58.8582,GBP
2026-03-10,59.2417,GBP
2026-03-11,59.1366,GBP
2026-03-12,59.0667,GBP
2026-03-13,58.6166,GBP
2026-03-16,58.6854,GBP
2026-02-13,0.2853,JPY
2026-02-16,0.285,JPY
2026-02-17,0.2856,JPY
2026-02-18,0.2848,JPY
2026-02-19,0.2826,JPY
2026-02-20,0.2825,JPY
2026-02-23,0.2832,JPY
2026-02-24,0.2814,JPY
2026-02-25,0.2799,JPY
2026-02-26,0.2812,JPY
2026-02-27,0.2818,JPY
2026-03-02,0.2792,JPY
2026-03-03,0.2789,JPY
2026-03-04,0.2799,JPY
2026-03-05,0.2793,JPY
2026-03-06,0.2791,JPY
2026-03-09,0.2781,JPY
2026-03-10,0.2792,JPY
2026-03-11,0.2781,JPY
2026-03-12,0.2777,JPY
2026-03-13,0.2773,JPY
2026-03-16,0.2777,JPY
2026-02-13,43.7445,USD
2026-02-16,43.7063,USD
2026-02-17,43.7254,USD
2026-02-18,43.7637,USD
2026-02-19,43.7637,USD
2026-02-20,43.8404,USD
2026-02-23,43.8404,USD
2026-02-24,43.8596,USD
2026-02-25,43.8596,USD
2026-02-26,43.8789,USD
2026-02-27,43.956,USD
2026-03-02,43.956,USD
2026-03-03,43.9754,USD
2026-03-04,43.9754,USD
2026-03-05,43.9947,USD
2026-03-06,44.0723,USD
2026-03-09,44.0917,USD
2026-03-10,44.0529,USD
2026-03-11,44.0917,USD
2026-03-12,44.1112,USD
2026-03-13,44.1891,USD
2026-03-16,44.1891,USD
